ticker,name,market,sector_theme,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,roe_annualized_pct,debt_ratio_pct,per_annualized,pbr,earnings_trend,q2_revenue_yoy_pct,q2_operating_profit_yoy_pct,q2_net_income_yoy_pct,operating_cash_flow_annual,return_1m_pct,return_3m_pct,position_3m_pct,atr14_pct,avg20_trading_value_krw,volume_vs_20d,elasticity_20d_pct,supply_level,swing_phase
128940,한미약품,KOSPI,의약품 제조업 / 의약품,14.35,54.65,54.18,21.48,17.01,46.86,21.99,3.74,흑자지속,29.33,116.9,95.49,173072329954.0,12.3487,12.8954,61.8321,6.7183,92980045788.0,0.339,4.1764,위험,TOP_DECLINE
138930,BNK금융지주,KOSPI,기타 금융업 / 금융지주회사,-1.6,12.36,-13.15,16.01,7.38,1363.0,5.79,0.43,흑자지속,,-7.9,-34.59,-2023799286987.0,6.9128,-5.2913,38.0952,3.5792,14752989649.0,1.2956,1.5526,경계,BOTTOM_REBOUND
139480,이마트,KOSPI,,-1.54,-25.24,-209.83,0.96,-0.73,133.72,,0.13,흑자지속,-1.76,-298.97,-336.14,1318939140965.0,-8.5608,-16.629,12.7753,3.0615,8246097619.0,0.4698,1.4788,위험,EARLY_REBOUND_UNCONFIRMED
214320,이노션,KOSPI,,0.04,27.35,86.89,8.25,12.89,153.59,4.85,0.63,흑자지속,-3.85,22.44,53.11,281196807331.0,-5.2821,-10.3398,20.5333,1.9353,1010897248.0,0.7327,0.6259,경계,NEW_LOW
234080,JW생명과학,KOSPI,,-3.15,0.45,-14.96,14.73,12.97,34.85,5.92,0.77,흑자지속,1.58,-0.38,-28.32,40536761521.0,-6.3032,-1.61,30.2013,1.9049,175324579.0,0.3817,0.9043,주의,NEW_LOW
241590,화승엔터프라이즈,KOSPI,,-7.65,-89.26,-18.05,0.33,-4.72,201.27,,0.37,흑자지속,2.72,-21.72,84.49,132334249914.0,-13.3028,-24.0964,6.6406,4.3911,112589018.0,1.5264,1.2696,없음,NEW_LOW
267250,HD현대,KOSPI,기타 금융업 / 지주회사,22.49,186.95,310.64,16.57,29.81,160.15,1.83,0.54,흑자지속,30.2,262.16,550.26,7384884225000.0,10.245,0.8147,66.5072,5.613,31817167275.0,0.8471,2.3373,경계,BOTTOM_REBOUND
267270,HD건설기계,KOSPI,특수 목적용 기계 제조업 / 굴삭기·지게차·휠로더 등,152.81,438.08,1249.58,9.28,14.09,91.02,9.66,1.36,흑자지속,151.54,521.53,29014.0,166035785000.0,0.3521,-0.4193,64.2249,5.8386,31426596370.0,0.7297,3.4487,위험,BOTTOM_REBOUND
271940,일진하이솔루스,KOSPI,,81.3,53.73,196.09,-5.05,0.58,8.22,217.3,1.26,적자지속,41.22,76.67,307.35,-4589895653.0,2.0484,-10.8943,52.2046,5.524,581815912.0,1.4682,2.5222,없음,BOTTOM_REBOUND
271980,제일약품,KOSPI,,-7.9,-164.09,-151.76,-2.39,-2.72,107.74,,0.59,적자전환,6.52,-250.39,-319.84,-5689659592.0,-4.0836,-0.4926,34.0369,5.7835,1297912036.0,0.1769,1.7919,없음,TOP_DECLINE
278470,에이피알,KOSPI,기타 화학제품 제조업 / 화장품·피부미용기기 등,129.2,150.45,122.62,25.19,79.87,70.07,31.28,24.99,흑자지속,134.19,125.37,113.44,341046397295.0,-3.5019,-9.3788,38.8724,6.84,112242373318.0,1.4958,2.9291,주의,TOP_DECLINE
